Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0144575875	2.48265089	2.48265089	2.48265089	2.48265089	0	0	0	0	0	0	0	3
2	3	0	0.028915175	1.57661473	2.02963281	1.57661473	2.48265089	0.453018083	0	0	0	0	0	0	3
3	3	0	0.0433727625	1.38568051	1.81498204	1.38568051	2.48265089	0.66766885	0	0	0	0	0	0	3
4	4	0	0.05783035	1.12523453	1.64254516	1.12523453	2.48265089	0.840105727	0	0	0	0	0	0	3
5	4	0	0.0722879375	1.13175035	1.5403862	1.12523453	2.48265089	0.94226469	0	0	0	0	0	0	3
6	5	0	0.086745525	1.0753286	1.4628766	1.0753286	2.48265089	1.01977429	0	0	0	0	0	0	3
7	5	0	0.101203112	1.08314606	1.40862938	1.0753286	2.48265089	1.07402151	0	0	0	0	0	0	3
8	6	0	0.1156607	1.05751224	1.36473974	1.05751224	2.48265089	1.11791115	0	0	0	0	0	0	3
9	6	0	0.130118287	1.0549736	1.33032128	1.0549736	2.48265089	1.15232961	0	0	0	0	0	0	3
10	7	0	0.144575875	1.03510141	1.30079929	1.03510141	2.48265089	1.1818516	0	0	0	0	0	0	3
11	7	0	0.159033462	1.02163819	1.27542101	1.02163819	2.48265089	1.20722988	0	0	0	0	0	0	3
12	8	0	0.17349105	1.01148594	1.25342642	1.01148594	2.48265089	1.22922447	0	0	0	0	0	0	3
13	8	0	0.187948637	0.996345546	1.23365097	0.996345546	2.48265089	1.24899992	0	0	0	0	0	0	3
14	9	0	0.202406225	0.980544378	1.21557193	0.980544378	2.48265089	1.26707897	0	0	0	0	0	0	3
15	9	0	0.216863812	0.963126139	1.19874221	0.963126139	2.48265089	1.28390868	0	0	0	0	0	0	3
16	9	0	0.2313214	0.947579708	1.18304455	0.947579708	2.48265089	1.29960634	0	0	0	0	0	0	3
17	10	0	0.245778987	0.933657083	1.1683747	0.933657083	2.48265089	1.31427619	0	0	0	0	0	0	3
18	10	0	0.260236575	0.922169258	1.15469662	0.922169258	2.48265089	1.32795427	0	0	0	0	0	0	3
19	11	0	0.274694162	0.907917748	1.14170826	0.907917748	2.48265089	1.34094263	0	0	0	0	0	0	3
20	11	0	0.28915175	0.89933282	1.12958949	0.89933282	2.48265089	1.35306141	0	0	0	0	0	0	3
21	12	0	0.303609337	0.883022977	1.11784822	0.883022977	2.48265089	1.36480267	0	0	0	0	0	0	3
22	12	0	0.318066925	0.875240277	1.10682059	0.875240277	2.48265089	1.3758303	0	0	0	0	0	0	3
23	13	0	0.332524512	0.864386557	1.09627998	0.864386557	2.48265089	1.38637091	0	0	0	0	0	0	3
24	13	0	0.3469821	0.858214065	1.08636057	0.858214065	2.48265089	1.39629032	0	0	0	0	0	0	3
25	14	0	0.361439687	0.850009152	1.07690651	0.850009152	2.48265089	1.40574438	0	0	0	0	0	0	3
26	15	0	0.375897275	0.844218401	1.06795697	0.844218401	2.48265089	1.41469392	0	0	0	0	0	0	3
27	15	0	0.390354862	0.840438354	1.05953035	0.840438354	2.48265089	1.42312054	0	0	0	0	0	0	3
28	16	0	0.40481245	0.841510991	1.05174395	0.840438354	2.48265089	1.43090694	0	0	0	0	0	0	3
29	16	0	0.419270037	0.841241454	1.04448524	0.840438354	2.48265089	1.43816565	0	0	0	0	0	0	3
30	17	0	0.433727625	0.843353106	1.03778084	0.840438354	2.48265089	1.44487006	0	0	0	0	0	0	3
31	17	0	0.448185212	0.84112452	1.03143708	0.840438354	2.48265089	1.45121381	0	0	0	0	0	0	3
32	18	0	0.4626428	0.843539327	1.02556528	0.840438354	2.48265089	1.45708561	0	0	0	0	0	0	3
33	18	0	0.477100387	0.84641425	1.02013646	0.840438354	2.48265089	1.46251443	0	0	0	0	0	0	3
34	19	0	0.491557975	0.851463392	1.01517549	0.840438354	2.48265089	1.4674754	0	0	0	0	0	0	3
35	19	0	0.506015562	0.854097911	1.01057327	0.840438354	2.48265089	1.47207762	0	0	0	0	0	0	3
36	20	0	0.52047315	0.85617583	0.964102554	0.840438354	1.57661473	0.736176372	0	0	0	0	0	0	3
37	20	0	0.534930737	0.857831531	0.943565891	0.840438354	1.38568051	0.545242154	0	0	0	0	0	0	3
38	21	0	0.549388325	0.859368142	0.928528395	0.840438354	1.13175035	0.291311996	0	0	0	0	0	0	3
39	21	0	0.563845912	0.860898755	0.920975944	0.840438354	1.13175035	0.291311996	0	0	0	0	0	0	3
40	22	0	0.5783035	0.862372632	0.913279438	0.840438354	1.08314606	0.242707702	0	0	0	0	0	0	3
41	23	0	0.592761087	0.862860186	0.907208912	0.840438354	1.08314606	0.242707702	0	0	0	0	0	0	3
42	23	0	0.607218675	0.863373058	0.900929684	0.840438354	1.05751224	0.217073888	0	0	0	0	0	0	3
43	24	0	0.621676262	0.864148494	0.895405005	0.840438354	1.0549736	0.214535247	0	0	0	0	0	0	3
44	24	0	0.63613385	0.865638269	0.889995424	0.840438354	1.03510141	0.194663059	0	0	0	0	0	0	3
45	25	0	0.650591437	0.866452602	0.885176887	0.840438354	1.02163819	0.181199834	0	0	0	0	0	0	3
46	25	0	0.665049025	0.867770313	0.880780662	0.840438354	1.01148594	0.171047582	0	0	0	0	0	0	3
47	26	0	0.679506612	0.868015411	0.876681504	0.840438354	0.996345546	0.155907192	0	0	0	0	0	0	3
48	26	0	0.6939642	0.868153227	0.873018866	0.840438354	0.980544378	0.140106025	0	0	0	0	0	0	3
49	27	0	0.708421787	0.867460004	0.869787884	0.840438354	0.963126139	0.122687785	0	0	0	0	0	0	3
50	27	0	0.722879375	0.866389924	0.867023992	0.840438354	0.947579708	0.107141354	0	0	0	0	0	0	3
51	28	0	0.737336962	0.864184019	0.864641258	0.840438354	0.933657083	0.0932187291	0	0	0	0	0	0	3
52	29	0	0.75179455	0.862449331	0.862606751	0.840438354	0.922169258	0.0817309046	0	0	0	0	0	0	3
53	29	0	0.766252137	0.860205234	0.86083635	0.840438354	0.907917748	0.0674793944	0	0	0	0	0	0	3
54	30	0	0.780709725	0.858688905	0.859429812	0.840438354	0.89933282	0.0588944667	0	0	0	0	0	0	3
55	30	0	0.795167312	0.857439955	0.858232873	0.840438354	0.883022977	0.0425846237	0	0	0	0	0	0	3
56	31	0	0.8096249	0.856372322	0.857471426	0.840438354	0.875240277	0.034801923	0	0	0	0	0	0	3
57	32	0	0.824082487	0.855170315	0.856897998	0.840438354	0.868153227	0.0277148734	0	0	0	0	0	0	3
58	32	0	0.838540075	0.855479368	0.856643507	0.840438354	0.868153227	0.0277148734	0	0	0	0	0	0	3
59	33	0	0.852997662	0.855181422	0.85655686	0.840438354	0.868153227	0.0277148734	0	0	0	0	0	0	3
60	33	0	0.86745525	0.856954004	0.856755285	0.840438354	0.868153227	0.0277148734	0	0	0	0	0	0	3
61	34	0	0.881912837	0.857493616	0.857134576	0.840438354	0.868153227	0.0277148734	0	0	0	0	0	0	3
62	34	0	0.896370425	0.859386026	0.857675938	0.84112452	0.868153227	0.0270287074	0	0	0	0	0	0	3
63	35	0	0.910828012	0.859863901	0.858200307	0.84112452	0.868153227	0.0270287074	0	0	0	0	0	0	3
64	36	0	0.9252856	0.861302778	0.858773488	0.84112452	0.868153227	0.0270287074	0	0	0	0	0	0	3
65	36	0	0.939743187	0.861772054	0.859299744	0.84112452	0.868153227	0.0270287074	0	0	0	0	0	0	3
66	37	0	0.954200775	0.863437029	0.859937244	0.843539327	0.868153227	0.0246139	0	0	0	0	0	0	3
67	37	0	0.968658362	0.863903644	0.860519082	0.84641425	0.868153227	0.0217389774	0	0	0	0	0	0	3
68	38	0	0.98311595	0.865035949	0.86105113	0.851463392	0.868153227	0.0166898354	0	0	0	0	0	0	3
69	38	0	0.997573537	0.865178399	0.861442987	0.854097911	0.868153227	0.0140553159	0	0	0	0	0	0	3
70	39	0	1.01203112	0.865748845	0.861775871	0.855170315	0.868153227	0.0129829123	0.0163572646	0	100	0	0	0	3
