Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0144575875	93.6183631	93.6183631	93.6183631	93.6183631	0	0	0	0	0	0	0	3
2	3	0	0.028915175	59.4526159	76.5354895	59.4526159	93.6183631	17.0828736	0	0	0	0	0	0	3
3	3	0	0.0433727625	52.2526713	68.4412168	52.2526713	93.6183631	25.1771463	0	0	0	0	0	0	3
4	4	0	0.05783035	42.4315056	61.938789	42.4315056	93.6183631	31.6795741	0	0	0	0	0	0	3
5	4	0	0.0722879375	42.6772107	58.0864733	42.4315056	93.6183631	35.5318898	0	0	0	0	0	0	3
6	5	0	0.086745525	40.5496011	55.1636613	40.5496011	93.6183631	38.4547018	0	0	0	0	0	0	3
7	5	0	0.101203112	40.8443898	53.1180511	40.5496011	93.6183631	40.5003121	0	0	0	0	0	0	3
8	6	0	0.1156607	39.8777635	51.4630151	39.8777635	93.6183631	42.155348	0	0	0	0	0	0	3
9	6	0	0.130118287	39.7820338	50.1651283	39.7820338	93.6183631	43.4532348	0	0	0	0	0	0	3
10	7	0	0.144575875	39.0326728	49.0518828	39.0326728	93.6183631	44.5664804	0	0	0	0	0	0	3
11	7	0	0.159033462	38.5249876	48.0948923	38.5249876	93.6183631	45.5234708	0	0	0	0	0	0	3
12	8	0	0.17349105	38.142156	47.2654976	38.142156	93.6183631	46.3528655	0	0	0	0	0	0	3
13	8	0	0.187948637	37.5712266	46.5197845	37.5712266	93.6183631	47.0985787	0	0	0	0	0	0	3
14	9	0	0.202406225	36.9753798	45.8380413	36.9753798	93.6183631	47.7803219	0	0	0	0	0	0	3
15	9	0	0.216863812	36.3185549	45.2034088	36.3185549	93.6183631	48.4149543	0	0	0	0	0	0	3
16	9	0	0.2313214	35.732314	44.6114654	35.732314	93.6183631	49.0068977	0	0	0	0	0	0	3
17	10	0	0.245778987	35.2073053	44.0582795	35.2073053	93.6183631	49.5600836	0	0	0	0	0	0	3
18	10	0	0.260236575	34.7741105	43.5424924	34.7741105	93.6183631	50.0758708	0	0	0	0	0	0	3
19	11	0	0.274694162	34.2366999	43.0527138	34.2366999	93.6183631	50.5656493	0	0	0	0	0	0	3
20	11	0	0.28915175	33.9129706	42.5957266	33.9129706	93.6183631	51.0226365	0	0	0	0	0	0	3
21	12	0	0.303609337	33.2979422	42.152975	33.2979422	93.6183631	51.4653881	0	0	0	0	0	0	3
22	12	0	0.318066925	33.004464	41.7371336	33.004464	93.6183631	51.8812295	0	0	0	0	0	0	3
23	13	0	0.332524512	32.5951808	41.3396574	32.5951808	93.6183631	52.2787058	0	0	0	0	0	0	3
24	13	0	0.3469821	32.3624221	40.9656059	32.3624221	93.6183631	52.6527572	0	0	0	0	0	0	3
25	14	0	0.361439687	32.0530227	40.6091026	32.0530227	93.6183631	53.0092606	0	0	0	0	0	0	3
26	15	0	0.375897275	31.8346591	40.271624	31.8346591	93.6183631	53.3467391	0	0	0	0	0	0	3
