Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0144575875	0	0	0	0	0	0	0	0	0	0	0	3
2	3	0	0.028915175	0	0	0	0	0	0	0	0	0	0	0	3
3	3	0	0.0433727625	0	0	0	0	0	0	0	0	0	0	0	3
4	4	0	0.05783035	0	0	0	0	0	0	0	0	0	0	0	3
5	4	0	0.0722879375	0	0	0	0	0	0	0	0	0	0	0	3
6	5	0	0.086745525	0	0	0	0	0	0	0	0	0	0	0	3
7	5	0	0.101203112	0	0	0	0	0	0	0	0	0	0	0	3
8	6	0	0.1156607	0	0	0	0	0	0	0	0	0	0	0	3
9	6	0	0.130118287	0	0	0	0	0	0	0	0	0	0	0	3
10	7	0	0.144575875	0	0	0	0	0	0	0	0	0	0	0	3
11	7	0	0.159033462	0	0	0	0	0	0	0	0	0	0	0	3
12	8	0	0.17349105	0	0	0	0	0	0	0	0	0	0	0	3
13	8	0	0.187948637	0	0	0	0	0	0	0	0	0	0	0	3
14	9	0	0.202406225	0	0	0	0	0	0	0	0	0	0	0	3
15	9	0	0.216863812	0	0	0	0	0	0	0	0	0	0	0	3
16	9	0	0.2313214	0	0	0	0	0	0	0	0	0	0	0	3
17	10	0	0.245778987	0	0	0	0	0	0	0	0	0	0	0	3
18	10	0	0.260236575	0	0	0	0	0	0	0	0	0	0	0	3
19	11	0	0.274694162	0	0	0	0	0	0	0	0	0	0	0	3
20	11	0	0.28915175	0	0	0	0	0	0	0	0	0	0	0	3
21	12	0	0.303609337	0	0	0	0	0	0	0	0	0	0	0	3
22	12	0	0.318066925	0	0	0	0	0	0	0	0	0	0	0	3
23	13	0	0.332524512	0	0	0	0	0	0	0	0	0	0	0	3
24	13	0	0.3469821	0	0	0	0	0	0	0	0	0	0	0	3
25	14	0	0.361439687	0	0	0	0	0	0	0	0	0	0	0	3
26	15	0	0.375897275	0	0	0	0	0	0	0	0	0	0	0	3
27	15	0	0.390354862	0	0	0	0	0	0	0	0	0	0	0	3
28	16	0	0.40481245	0	0	0	0	0	0	0	0	0	0	0	3
29	16	0	0.419270037	0	0	0	0	0	0	0	0	0	0	0	3
30	17	0	0.433727625	0	0	0	0	0	0	0	0	0	0	0	3
31	17	0	0.448185212	0	0	0	0	0	0	0	0	0	0	0	3
32	18	0	0.4626428	0	0	0	0	0	0	0	0	0	0	0	3
33	18	0	0.477100387	0	0	0	0	0	0	0	0	0	0	0	3
34	19	0	0.491557975	0	0	0	0	0	0	0	0	0	0	0	3
35	19	0	0.506015562	0	0	0	0	0	0	0	0	0	0	0	3
36	20	0	0.52047315	0	0	0	0	0	0	0	0	0	0	0	3
37	20	0	0.534930737	0	0	0	0	0	0	0	0	0	0	0	3
38	21	0	0.549388325	0	0	0	0	0	0	0	0	0	0	0	3
39	21	0	0.563845912	0	0	0	0	0	0	0	0	0	0	0	3
40	22	0	0.5783035	0	0	0	0	0	0	0	0	0	0	0	3
41	23	0	0.592761087	0	0	0	0	0	0	0	0	0	0	0	3
42	23	0	0.607218675	0	0	0	0	0	0	0	0	0	0	0	3
43	24	0	0.621676262	0	0	0	0	0	0	0	0	0	0	0	3
44	24	0	0.63613385	0	0	0	0	0	0	0	0	0	0	0	3
45	25	0	0.650591437	0	0	0	0	0	0	0	0	0	0	0	3
46	25	0	0.665049025	0	0	0	0	0	0	0	0	0	0	0	3
47	26	0	0.679506612	0	0	0	0	0	0	0	0	0	0	0	3
48	26	0	0.6939642	0	0	0	0	0	0	0	0	0	0	0	3
49	27	0	0.708421787	0	0	0	0	0	0	0	0	0	0	0	3
50	27	0	0.722879375	0	0	0	0	0	0	0	0	0	0	0	3
51	28	0	0.737336962	0	0	0	0	0	0	0	0	0	0	0	3
52	29	0	0.75179455	0	0	0	0	0	0	0	0	0	0	0	3
53	29	0	0.766252137	0	0	0	0	0	0	0	0	0	0	0	3
54	30	0	0.780709725	0	0	0	0	0	0	0	0	0	0	0	3
55	30	0	0.795167312	0	0	0	0	0	0	0	0	0	0	0	3
56	31	0	0.8096249	0	0	0	0	0	0	0	0	0	0	0	3
57	32	0	0.824082487	0	0	0	0	0	0	0	0	0	0	0	3
58	32	0	0.838540075	0	0	0	0	0	0	0	0	0	0	0	3
59	33	0	0.852997662	0	0	0	0	0	0	0	0	0	0	0	3
60	33	0	0.86745525	0	0	0	0	0	0	0	0	0	0	0	3
61	34	0	0.881912837	0	0	0	0	0	0	0	0	0	0	0	3
62	34	0	0.896370425	0	0	0	0	0	0	0	0	0	0	0	3
63	35	0	0.910828012	0	0	0	0	0	0	0	0	0	0	0	3
64	36	0	0.9252856	0	0	0	0	0	0	0	0	0	0	0	3
65	36	0	0.939743187	0	0	0	0	0	0	0	0	0	0	0	3
66	37	0	0.954200775	0	0	0	0	0	0	0	0	0	0	0	3
67	37	0	0.968658362	0	0	0	0	0	0	0	0	0	0	0	3
68	38	0	0.98311595	0	0	0	0	0	0	0	0	0	0	0	3
69	38	0	0.997573537	0	0	0	0	0	0	0	0	0	0	0	3
70	39	0	1.01203112	0	0	0	0	0	0.001	0	0	0	0	0	3
