Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0145317411	1.66610549	1.66610549	1.66610549	1.66610549	0	0	0	0	0	0	0	3
2	2	0	0.0290634823	1.31764334	1.49187442	1.31764334	1.66610549	0.174231074	0	0	0	0	0	0	3
3	3	0	0.0435952234	1.19633596	1.3933616	1.19633596	1.66610549	0.272743891	0	0	0	0	0	0	3
4	3	0	0.0581269645	1.07605586	1.31403516	1.07605586	1.66610549	0.352070325	0	0	0	0	0	0	3
5	4	0	0.0726587057	1.07836456	1.26690104	1.07605586	1.66610549	0.399204446	0	0	0	0	0	0	3
6	4	0	0.0871904468	1.03852861	1.22883897	1.03852861	1.66610549	0.437266518	0	0	0	0	0	0	3
7	4	0	0.101722188	1.02486006	1.19969913	1.02486006	1.66610549	0.466406362	0	0	0	0	0	0	3
8	5	0	0.116253929	0.990172458	1.17350829	0.990172458	1.66610549	0.492597196	0	0	0	0	0	0	3
9	5	0	0.13078567	0.970690311	1.15097296	0.970690311	1.66610549	0.515132527	0	0	0	0	0	0	3
10	6	0	0.145317411	0.951735375	1.1310492	0.951735375	1.66610549	0.535056286	0	0	0	0	0	0	3
11	6	0	0.159849152	0.943579906	1.11400654	0.943579906	1.66610549	0.552098949	0	0	0	0	0	0	3
12	7	0	0.174380894	0.93185432	1.09882719	0.93185432	1.66610549	0.567278301	0	0	0	0	0	0	3
13	8	0	0.188912635	0.914229414	1.08462736	0.914229414	1.66610549	0.58147813	0	0	0	0	0	0	3
14	8	0	0.203444376	0.903673119	1.07170206	0.903673119	1.66610549	0.594403433	0	0	0	0	0	0	3
15	9	0	0.217976117	0.887349007	1.05941185	0.887349007	1.66610549	0.606693636	0	0	0	0	0	0	3
16	9	0	0.232507858	0.880695238	1.04824206	0.880695238	1.66610549	0.617863425	0	0	0	0	0	0	3
17	9	0	0.247039599	0.868301708	1.03765734	0.868301708	1.66610549	0.628448151	0	0	0	0	0	0	3
18	10	0	0.26157134	0.863019633	1.02795524	0.863019633	1.66610549	0.638150246	0	0	0	0	0	0	3
19	11	0	0.276103082	0.852820382	1.01873762	0.852820382	1.66610549	0.64736787	0	0	0	0	0	0	3
20	11	0	0.290634823	0.847918466	1.01019666	0.847918466	1.66610549	0.655908828	0	0	0	0	0	0	3
21	11	0	0.305166564	0.845452079	1.00235168	0.845452079	1.66610549	0.663753808	0	0	0	0	0	0	3
22	12	0	0.319698305	0.843732981	0.99514174	0.843732981	1.66610549	0.670963749	0	0	0	0	0	0	3
23	13	0	0.334230046	0.843449259	0.988546415	0.843449259	1.66610549	0.677559074	0	0	0	0	0	0	3
24	13	0	0.348761787	0.844081522	0.982527045	0.843449259	1.66610549	0.683578445	0	0	0	0	0	0	3
25	14	0	0.363293528	0.843613822	0.976970516	0.843449259	1.66610549	0.689134974	0	0	0	0	0	0	3
26	14	0	0.37782527	0.844268214	0.971866581	0.843449259	1.66610549	0.694238909	0	0	0	0	0	0	3
27	15	0	0.392357011	0.848213749	0.967286846	0.843449259	1.66610549	0.698818643	0	0	0	0	0	0	3
28	15	0	0.406888752	0.852074648	0.963172125	0.843449259	1.66610549	0.702933364	0	0	0	0	0	0	3
29	16	0	0.421420493	0.855682151	0.959465574	0.843449259	1.66610549	0.706639915	0	0	0	0	0	0	3
30	16	0	0.435952234	0.860384149	0.95616286	0.843449259	1.66610549	0.709942629	0	0	0	0	0	0	3
31	17	0	0.450483975	0.864820697	0.953216339	0.843449259	1.66610549	0.712889151	0	0	0	0	0	0	3
32	17	0	0.465015716	0.870639817	0.950635822	0.843449259	1.66610549	0.715469667	0	0	0	0	0	0	3
33	18	0	0.479547457	0.877995264	0.948434593	0.843449259	1.66610549	0.717670896	0	0	0	0	0	0	3
34	18	0	0.494079199	0.88332051	0.946519473	0.843449259	1.66610549	0.719586016	0	0	0	0	0	0	3
35	19	0	0.50861094	0.889309233	0.944884895	0.843449259	1.66610549	0.721220595	0	0	0	0	0	0	3
36	19	0	0.523142681	0.893204798	0.922802018	0.843449259	1.31764334	0.474194083	0	0	0	0	0	0	3
37	20	0	0.537674422	0.894086828	0.910700403	0.843449259	1.19633596	0.352886706	0	0	0	0	0	0	3
38	20	0	0.552206163	0.895739276	0.902111927	0.843449259	1.07836456	0.234915301	0	0	0	0	0	0	3
39	21	0	0.566737904	0.897453618	0.897009005	0.843449259	1.07836456	0.234915301	0	0	0	0	0	0	3
40	21	0	0.581269645	0.899773998	0.891906418	0.843449259	1.03852861	0.195079355	0	0	0	0	0	0	3
41	22	0	0.595801387	0.901088595	0.88797956	0.843449259	1.02486006	0.181410804	0	0	0	0	0	0	3
42	23	0	0.610333128	0.901305585	0.884449432	0.843449259	0.990172458	0.1467232	0	0	0	0	0	0	3
43	23	0	0.624864869	0.900682847	0.881892586	0.843449259	0.970690311	0.127241053	0	0	0	0	0	0	3
44	23	0	0.63939661	0.900515666	0.879887596	0.843449259	0.951735375	0.108286116	0	0	0	0	0	0	3
45	24	0	0.653928351	0.89869819	0.878372248	0.843449259	0.943579906	0.100130647	0	0	0	0	0	0	3
46	24	0	0.668460092	0.896917328	0.877039032	0.843449259	0.93185432	0.0884050613	0	0	0	0	0	0	3
47	25	0	0.682991833	0.894029751	0.87595833	0.843449259	0.914229414	0.0707801558	0	0	0	0	0	0	3
48	25	0	0.697523575	0.891674482	0.875313903	0.843449259	0.903673119	0.0602238606	0	0	0	0	0	0	3
49	26	0	0.712055316	0.888410545	0.87487783	0.843449259	0.901305585	0.0578563263	0	0	0	0	0	0	3
50	26	0	0.726587057	0.884674997	0.874801429	0.843449259	0.901305585	0.0578563263	0	0	0	0	0	0	3
51	26	0	0.741118798	0.881850596	0.87483444	0.843449259	0.901305585	0.0578563263	0	0	0	0	0	0	3
52	27	0	0.755650539	0.878468278	0.875124913	0.843449259	0.901305585	0.0578563263	0	0	0	0	0	0	3
53	27	0	0.77018228	0.875961774	0.875494688	0.843449259	0.901305585	0.0578563263	0	0	0	0	0	0	3
54	28	0	0.784714021	0.873358422	0.87608149	0.843449259	0.901305585	0.0578563263	0	0	0	0	0	0	3
55	28	0	0.799245762	0.872305508	0.876778262	0.843449259	0.901305585	0.0578563263	0	0	0	0	0	0	3
56	28	0	0.813777504	0.871478611	0.877521877	0.843449259	0.901305585	0.0578563263	0	0	0	0	0	0	3
57	29	0	0.828309245	0.872453137	0.878342453	0.843449259	0.901305585	0.0578563263	0	0	0	0	0	0	3
58	29	0	0.842840986	0.873626281	0.879204654	0.843613822	0.901305585	0.0576917629	0	0	0	0	0	0	3
59	29	0	0.857372727	0.875968333	0.880115706	0.843613822	0.901305585	0.0576917629	0	0	0	0	0	0	3
60	30	0	0.871904468	0.877001571	0.881069641	0.844268214	0.901305585	0.057037371	0	0	0	0	0	0	3
61	30	0	0.886436209	0.878367293	0.882043901	0.848213749	0.901305585	0.0530918357	0	0	0	0	0	0	3
62	31	0	0.90096795	0.878384923	0.882905934	0.852074648	0.901305585	0.049230937	0	0	0	0	0	0	3
63	31	0	0.915499692	0.878531963	0.883661858	0.855682151	0.901305585	0.0456234334	0	0	0	0	0	0	3
64	31	0	0.930031433	0.877113111	0.884274171	0.860384149	0.901305585	0.0409214356	0	0	0	0	0	0	3
65	32	0	0.944563174	0.876520123	0.884735198	0.864820697	0.901305585	0.0364848876	0	0	0	0	0	0	3
66	32	0	0.959094915	0.875048792	0.88502743	0.870639817	0.901305585	0.0306657675	0	0	0	0	0	0	3
67	33	0	0.973626656	0.874068119	0.885125381	0.871478611	0.901305585	0.0298269743	0	0	0	0	0	0	3
68	33	0	0.988158397	0.873037451	0.884983729	0.871478611	0.901305585	0.0298269743	0	0	0	0	0	0	3
69	33	0	1.00269014	0.872748996	0.884681686	0.871478611	0.901305585	0.0298269743	0.0105866012	0	35.4	0	0	0	3
70	34	0	1.01722188	0.873009755	0.884215987	0.871478611	0.901305585	0.0298269743	0.0105866012	0	35.4	0	0	0	3
71	34	0	1.03175362	0.873588566	0.883655523	0.871478611	0.901305585	0.0298269743	0.0105866012	0	35.4	0	0	0	3
72	35	0	1.04628536	0.874290887	0.883089925	0.871478611	0.901305585	0.0273104973	0.0105866012	0	38.7	0	0	0	3
73	35	0	1.0608171	0.875530688	0.882512537	0.871478611	0.901305585	0.0222075761	0.0105866012	0	47.6	0	0	0	3
74	35	0	1.07534884	0.876349411	0.881909559	0.871478611	0.901305585	0.0171049886	0.0105866012	0	61.8	0	0	0	3
75	36	0	1.08988059	0.876706491	0.881250488	0.871478611	0.901305585	0.0131781309	0.0105866012	0	80.3	0	0	0	3
