Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0145317411	35.8799149	35.8799149	35.8799149	35.8799149	0	0	0	0	0	0	0	3
2	2	0	0.0290634823	28.3757129	32.1278139	28.3757129	35.8799149	3.75210103	0	0	0	0	0	0	3
3	3	0	0.0435952234	25.7633343	30.0063207	25.7633343	35.8799149	5.87359424	0	0	0	0	0	0	3
4	3	0	0.0581269645	23.1730782	28.2980101	23.1730782	35.8799149	7.58190487	0	0	0	0	0	0	3
5	4	0	0.0726587057	23.2227965	27.2829673	23.1730782	35.8799149	8.59694759	0	0	0	0	0	0	3
6	4	0	0.0871904468	22.3649214	26.463293	22.3649214	35.8799149	9.41662192	0	0	0	0	0	0	3
7	4	0	0.101722188	22.0705664	25.8357606	22.0705664	35.8799149	10.0441543	0	0	0	0	0	0	3
8	5	0	0.116253929	21.3235619	25.2717358	21.3235619	35.8799149	10.6081791	0	0	0	0	0	0	3
9	5	0	0.13078567	20.90401	24.7864329	20.90401	35.8799149	11.093482	0	0	0	0	0	0	3
10	6	0	0.145317411	20.4958116	24.3573708	20.4958116	35.8799149	11.5225441	0	0	0	0	0	0	3
11	6	0	0.159849152	20.320182	23.9903536	20.320182	35.8799149	11.8895613	0	0	0	0	0	0	3
12	7	0	0.174380894	20.0676691	23.6634633	20.0676691	35.8799149	12.2164517	0	0	0	0	0	0	3
13	8	0	0.188912635	19.6881133	23.3576671	19.6881133	35.8799149	12.5222478	0	0	0	0	0	0	3
14	8	0	0.203444376	19.4607814	23.0793181	19.4607814	35.8799149	12.8005968	0	0	0	0	0	0	3
15	9	0	0.217976117	19.1092383	22.8146461	19.1092383	35.8799149	13.0652688	0	0	0	0	0	0	3
16	9	0	0.232507858	18.9659481	22.5741025	18.9659481	35.8799149	13.3058124	0	0	0	0	0	0	3
17	9	0	0.247039599	18.6990509	22.3461583	18.6990509	35.8799149	13.5337566	0	0	0	0	0	0	3
18	10	0	0.26157134	18.5853004	22.1372218	18.5853004	35.8799149	13.7426932	0	0	0	0	0	0	3
19	11	0	0.276103082	18.3656575	21.9387184	18.3656575	35.8799149	13.9411966	0	0	0	0	0	0	3
20	11	0	0.290634823	18.2600937	21.7547871	18.2600937	35.8799149	14.1251278	0	0	0	0	0	0	3
21	11	0	0.305166564	18.2069796	21.5858439	18.2069796	35.8799149	14.294071	0	0	0	0	0	0	3
22	12	0	0.319698305	18.1699585	21.4305764	18.1699585	35.8799149	14.4493385	0	0	0	0	0	0	3
23	13	0	0.334230046	18.1638485	21.2885448	18.1638485	35.8799149	14.5913702	0	0	0	0	0	0	3
24	13	0	0.348761787	18.1774644	21.1589164	18.1638485	35.8799149	14.7209985	0	0	0	0	0	0	3
25	14	0	0.363293528	18.1673924	21.0392554	18.1638485	35.8799149	14.8406595	0	0	0	0	0	0	3
26	14	0	0.37782527	18.1814848	20.9293412	18.1638485	35.8799149	14.9505737	0	0	0	0	0	0	3
27	15	0	0.392357011	18.2664527	20.8307157	18.1638485	35.8799149	15.0491992	0	0	0	0	0	0	3
28	15	0	0.406888752	18.349598	20.7421043	18.1638485	35.8799149	15.1378106	0	0	0	0	0	0	3
29	16	0	0.421420493	18.4272863	20.662283	18.1638485	35.8799149	15.2176319	0	0	0	0	0	0	3
30	16	0	0.435952234	18.5285447	20.5911584	18.1638485	35.8799149	15.2887565	0	0	0	0	0	0	3
31	17	0	0.450483975	18.6240867	20.5277045	18.1638485	35.8799149	15.3522104	0	0	0	0	0	0	3
32	17	0	0.465015716	18.7494026	20.4721326	18.1638485	35.8799149	15.4077824	0	0	0	0	0	0	3
33	18	0	0.479547457	18.9078036	20.4247287	18.1638485	35.8799149	15.4551863	0	0	0	0	0	0	3
34	18	0	0.494079199	19.0224838	20.3834862	18.1638485	35.8799149	15.4964288	0	0	0	0	0	0	3
35	19	0	0.50861094	19.1514522	20.3482852	18.1638485	35.8799149	15.5316297	0	0	0	0	0	0	3
36	19	0	0.523142681	19.235344	19.872726	18.1638485	28.3757129	10.2118644	0	0	0	0	0	0	3
37	20	0	0.537674422	19.2543387	19.6121153	18.1638485	25.7633343	7.59948579	0	0	0	0	0	0	3
38	20	0	0.552206163	19.2899245	19.4271608	18.1638485	23.2227965	5.05894799	0	0	0	0	0	0	3
39	21	0	0.566737904	19.3268432	19.3172683	18.1638485	23.2227965	5.05894799	0	0	0	0	0	0	3
40	21	0	0.581269645	19.376813	19.2073831	18.1638485	22.3649214	4.20107293	0	0	0	0	0	0	3
41	22	0	0.595801387	19.4051231	19.1228174	18.1638485	22.0705664	3.90671795	0	0	0	0	0	0	3
42	23	0	0.610333128	19.409796	19.0467954	18.1638485	21.3235619	3.15971345	0	0	0	0	0	0	3
43	23	0	0.624864869	19.3963853	18.9917332	18.1638485	20.90401	2.74016152	0	0	0	0	0	0	3
44	23	0	0.63939661	19.392785	18.9485554	18.1638485	20.4958116	2.33196317	0	0	0	0	0	0	3
45	24	0	0.653928351	19.3536453	18.915922	18.1638485	20.320182	2.15633351	0	0	0	0	0	0	3
46	24	0	0.668460092	19.3152941	18.887211	18.1638485	20.0676691	1.90382068	0	0	0	0	0	0	3
47	25	0	0.682991833	19.2531095	18.8639378	18.1638485	19.6881133	1.52426481	0	0	0	0	0	0	3
48	25	0	0.697523575	19.2023883	18.85006	18.1638485	19.4607814	1.29693288	0	0	0	0	0	0	3
49	26	0	0.712055316	19.1320988	18.840669	18.1638485	19.409796	1.24594756	0	0	0	0	0	0	3
