Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0145317411	293.2	293.2	293.2	293.2	0	0	0	0	1.18125e-05	0	0	3
2	2	0	0.0290634823	293.2	293.2	293.2	293.2	2.95415248e-10	0	0	0	1.6334e-05	0	0	3
3	3	0	0.0435952234	293.2	293.2	293.2	293.2	5.90546279e-10	0	0	0	1.75611e-05	0	0	3
4	3	0	0.0581269645	293.2	293.2	293.2	293.2	8.74535999e-10	0	0	0	1.92669e-05	0	0	3
5	4	0	0.0726587057	293.2	293.2	293.2	293.2	1.1582415e-09	0	0	0	2.12865e-05	0	0	3
6	4	0	0.0871904468	293.2	293.2	293.2	293.2	1.51243285e-09	0	0	0	2.33647e-05	0	0	3
7	4	0	0.101722188	293.2	293.2	293.2	293.2	1.93489313e-09	0	0	0	2.5546e-05	0	0	3
8	5	0	0.116253929	293.2	293.2	293.2	293.2	2.40265763e-09	0	0	0	2.6882e-05	0	0	3
9	5	0	0.13078567	293.2	293.2	293.2	293.2	2.8960585e-09	0	0	0	2.93875e-05	0	0	3
10	6	0	0.145317411	293.2	293.2	293.2	293.2	3.40372708e-09	0	0	0	2.99336e-05	0	0	3
11	6	0	0.159849152	293.2	293.2	293.2	293.2	3.97068334e-09	0	0	0	3.04428e-05	0	0	3
12	7	0	0.174380894	293.2	293.2	293.2	293.2	4.62836169e-09	0	0	0	2.55485e-05	0	0	3
13	8	0	0.188912635	293.2	293.2	293.2	293.2	5.36209654e-09	0	0	0	2.35427e-05	0	0	3
14	8	0	0.203444376	293.2	293.2	293.2	293.2	6.16438456e-09	0	0	0	2.61215e-05	0	0	3
15	9	0	0.217976117	293.2	293.2	293.2	293.2	7.02237912e-09	0	0	0	2.87156e-05	0	0	3
16	9	0	0.232507858	293.2	293.2	293.2	293.2	8.01014721e-09	0	0	0	3.12127e-05	0	0	3
17	9	0	0.247039599	293.2	293.2	293.2	293.2	9.12297082e-09	0	0	0	3.15638e-05	0	0	3
18	10	0	0.26157134	293.2	293.2	293.2	293.2	1.03474918e-08	0	0	0	3.22558e-05	0	0	3
19	11	0	0.276103082	293.2	293.2	293.2	293.2	1.16513093e-08	0	0	0	3.17264e-05	0	0	3
20	11	0	0.290634823	293.2	293.2	293.2	293.2	1.30191893e-08	0	0	0	3.23069e-05	0	0	3
21	11	0	0.305166564	293.2	293.2	293.2	293.2	1.44910359e-08	0	0	0	3.13439e-05	0	0	3
22	12	0	0.319698305	293.2	293.2	293.2	293.2	1.60398486e-08	0	0	0	3.15034e-05	0	0	3
23	13	0	0.334230046	293.2	293.2	293.2	293.2	1.76244725e-08	0	0	0	3.04741e-05	0	0	3
24	13	0	0.348761787	293.2	293.2	293.2	293.2	1.92360403e-08	0	0	0	3.05422e-05	0	0	3
25	14	0	0.363293528	293.2	293.2	293.2	293.2	2.08831352e-08	0	0	0	2.9746e-05	0	0	3
26	14	0	0.37782527	293.2	293.2	293.2	293.2	2.26690986e-08	0	0	0	2.95516e-05	0	0	3
27	15	0	0.392357011	293.2	293.2	293.2	293.2	2.46097329e-08	0	0	0	2.88815e-05	0	0	3
28	15	0	0.406888752	293.2	293.2	293.2	293.2	2.66845177e-08	0	0	0	2.83677e-05	0	0	3
29	16	0	0.421420493	293.2	293.2	293.2	293.2	2.88540036e-08	0	0	0	2.77944e-05	0	0	3
30	16	0	0.435952234	293.2	293.2	293.2	293.2	3.10722612e-08	0	0	0	2.80063e-05	0	0	3
31	17	0	0.450483975	293.2	293.2	293.2	293.2	3.33529897e-08	0	0	0	2.78034e-05	0	0	3
32	17	0	0.465015716	293.2	293.2	293.2	293.2	3.56558303e-08	0	0	0	2.84491e-05	0	0	3
33	18	0	0.479547457	293.2	293.2	293.2	293.2	3.79548055e-08	0	0	0	2.79058e-05	0	0	3
34	18	0	0.494079199	293.2	293.2	293.2	293.2	4.02387172e-08	0	0	0	2.81318e-05	0	0	3
35	19	0	0.50861094	293.2	293.2	293.2	293.2	4.2501938e-08	0	0	0	2.80177e-05	0	0	3
36	19	0	0.523142681	293.2	293.2	293.2	293.2	4.57658871e-08	0	0	0	2.81853e-05	0	0	3
37	20	0	0.537674422	293.2	293.2	293.2	293.2	4.91590413e-08	0	0	0	2.79676e-05	0	0	3
38	20	0	0.552206163	293.2	293.2	293.2	293.2	5.26819122e-08	0	0	0	2.77341e-05	0	0	3
39	21	0	0.566737904	293.2	293.2	293.2	293.2	5.63126719e-08	0	0	0	2.69776e-05	0	0	3
40	21	0	0.581269645	293.2	293.2	293.2	293.2	5.99673058e-08	0	0	0	2.64493e-05	0	0	3
41	22	0	0.595801387	293.2	293.2	293.2	293.2	6.36568416e-08	0	0	0	2.60582e-05	0	0	3
42	23	0	0.610333128	293.2	293.2	293.2	293.2	6.73976501e-08	0	0	0	2.59186e-05	0	0	3
43	23	0	0.624864869	293.2	293.2	293.2	293.2	7.11941084e-08	0	0	0	2.5744e-05	0	0	3
44	23	0	0.63939661	293.2	293.2	293.2	293.2	7.50457048e-08	0	0	0	2.57467e-05	0	0	3
45	24	0	0.653928351	293.2	293.2	293.2	293.2	7.88937768e-08	0	0	0	2.54118e-05	0	0	3
46	24	0	0.668460092	293.2	293.2	293.2	293.2	8.2683016e-08	0	0	0	2.53548e-05	0	0	3
47	25	0	0.682991833	293.2	293.2	293.2	293.2	8.6395687e-08	0	0	0	2.50587e-05	0	0	3
48	25	0	0.697523575	293.2	293.2	293.2	293.2	9.003071e-08	0	0	0	2.51107e-05	0	0	3
49	26	0	0.712055316	293.2	293.2	293.2	293.2	9.35855837e-08	0	0	0	2.47861e-05	0	0	3
50	26	0	0.726587057	293.2	293.2	293.2	293.2	9.69784537e-08	0	0	0	2.47826e-05	0	0	3
51	26	0	0.741118798	293.2	293.2	293.2	293.2	1.00171917e-07	0	0	0	2.44958e-05	0	0	3
