Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0138746293	2.40561403	2.40561403	2.40561403	2.40561403	0	0	0	0	0	0	0	3
2	3	0	0.0277492586	1.51505091	1.96033247	1.51505091	2.40561403	0.445281561	0	0	0	0	0	0	3
3	3	0	0.0416238879	1.28161946	1.7340948	1.28161946	2.40561403	0.671519231	0	0	0	0	0	0	3
4	4	0	0.0554985172	1.11404548	1.57908247	1.11404548	2.40561403	0.826531562	0	0	0	0	0	0	3
5	4	0	0.0693731464	1.21421715	1.50610941	1.11404548	2.40561403	0.899504626	0	0	0	0	0	0	3
6	4	0	0.0832477757	1.10821501	1.43979367	1.10821501	2.40561403	0.965820359	0	0	0	0	0	0	3
7	5	0	0.097122405	1.14959023	1.39833604	1.10821501	2.40561403	1.00727799	0	0	0	0	0	0	3
8	5	0	0.110997034	1.06778278	1.35701688	1.06778278	2.40561403	1.04859715	0	0	0	0	0	0	3
9	5	0	0.124871664	1.09856914	1.32830047	1.06778278	2.40561403	1.07731357	0	0	0	0	0	0	3
10	6	0	0.138746293	1.03627892	1.29909831	1.03627892	2.40561403	1.10651572	0	0	0	0	0	0	3
11	7	0	0.152620922	1.05216479	1.27664981	1.03627892	2.40561403	1.12896422	0	0	0	0	0	0	3
12	7	0	0.166495551	1.00517847	1.2540272	1.00517847	2.40561403	1.15158683	0	0	0	0	0	0	3
13	7	0	0.180370181	1.0155542	1.23568312	1.00517847	2.40561403	1.16993091	0	0	0	0	0	0	3
14	8	0	0.19424481	0.986272574	1.21786808	0.986272574	2.40561403	1.18774595	0	0	0	0	0	0	3
15	8	0	0.208119439	0.988528028	1.20257875	0.986272574	2.40561403	1.20303529	0	0	0	0	0	0	3
16	9	0	0.221994069	0.977061116	1.18848389	0.977061116	2.40561403	1.21713014	0	0	0	0	0	0	3
17	9	0	0.235868698	0.965281933	1.17535437	0.965281933	2.40561403	1.23025967	0	0	0	0	0	0	3
18	10	0	0.249743327	0.961717631	1.16348566	0.961717631	2.40561403	1.24212837	0	0	0	0	0	0	3
19	10	0	0.263617956	0.953098645	1.15241266	0.953098645	2.40561403	1.25320137	0	0	0	0	0	0	3
20	11	0	0.277492586	0.943586028	1.14197133	0.943586028	2.40561403	1.2636427	0	0	0	0	0	0	3
21	12	0	0.291367215	0.944041821	1.13254611	0.943586028	2.40561403	1.27306792	0	0	0	0	0	0	3
22	12	0	0.305241844	0.938810597	1.12373995	0.938810597	2.40561403	1.28187408	0	0	0	0	0	0	3
23	13	0	0.319116474	0.944566832	1.11594982	0.938810597	2.40561403	1.28966421	0	0	0	0	0	0	3
24	14	0	0.332991103	0.94727708	1.10892179	0.938810597	2.40561403	1.29669225	0	0	0	0	0	0	3
25	14	0	0.346865732	0.948607979	1.10250923	0.938810597	2.40561403	1.3031048	0	0	0	0	0	0	3
26	15	0	0.360740362	0.955693495	1.09686247	0.938810597	2.40561403	1.30875156	0	0	0	0	0	0	3
27	15	0	0.374614991	0.955594824	1.09163034	0.938810597	2.40561403	1.31398369	0	0	0	0	0	0	3
28	16	0	0.38848962	0.961284251	1.08697512	0.938810597	2.40561403	1.31863891	0	0	0	0	0	0	3
29	16	0	0.402364249	0.964176857	1.0827407	0.938810597	2.40561403	1.32287333	0	0	0	0	0	0	3
30	17	0	0.416238879	0.967035953	1.07888387	0.938810597	2.40561403	1.32673016	0	0	0	0	0	0	3
31	18	0	0.430113508	0.971448146	1.07541821	0.938810597	2.40561403	1.33019583	0	0	0	0	0	0	3
32	18	0	0.443988137	0.974724871	1.07227154	0.938810597	2.40561403	1.33334249	0	0	0	0	0	0	3
33	19	0	0.457862767	0.978792047	1.06943883	0.938810597	2.40561403	1.3361752	0	0	0	0	0	0	3
34	20	0	0.471737396	0.983499677	1.0669112	0.938810597	2.40561403	1.33870283	0	0	0	0	0	0	3
35	20	0	0.485612025	0.989570058	1.06470146	0.938810597	2.40561403	1.34091257	0	0	0	0	0	0	3
36	21	0	0.499486654	0.994113989	1.06274069	0.938810597	2.40561403	1.34287334	0	0	0	0	0	0	3
37	22	0	0.513361284	0.9961799	1.06094175	0.938810597	2.40561403	1.34467228	0	0	0	0	0	0	3
38	22	0	0.527235913	0.99981156	1.02294709	0.938810597	1.51505091	0.576240313	0	0	0	0	0	0	3
39	23	0	0.541110542	0.999666623	1.00901779	0.938810597	1.28161946	0.342808862	0	0	0	0	0	0	3
40	24	0	0.554985172	1.00064716	1.00142394	0.938810597	1.21421715	0.275406556	0	0	0	0	0	0	3
41	24	0	0.568859801	1.00054109	0.998356256	0.938810597	1.21421715	0.275406556	0	0	0	0	0	0	3
42	25	0	0.58273443	0.998325105	0.992521336	0.938810597	1.14959023	0.210779637	0	0	0	0	0	0	3
43	25	0	0.596609059	0.996891588	0.989512595	0.938810597	1.14959023	0.210779637	0	0	0	0	0	0	3
44	26	0	0.610483689	0.996525796	0.985375718	0.938810597	1.09856914	0.159758547	0	0	0	0	0	0	3
45	27	0	0.624358318	0.998200876	0.983495126	0.938810597	1.09856914	0.159758547	0	0	0	0	0	0	3
46	27	0	0.638232947	0.999879266	0.980827832	0.938810597	1.05216479	0.113354191	0	0	0	0	0	0	3
47	28	0	0.652107577	1.00236912	0.979911351	0.938810597	1.05216479	0.113354191	0	0	0	0	0	0	3
48	29	0	0.665982206	1.00411869	0.978612808	0.938810597	1.0155542	0.0767436046	0	0	0	0	0	0	3
