Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0138746293	39.9333132	39.9333132	39.9333132	39.9333132	0	0	0	0	0	0	0	3
2	3	0	0.0277492586	25.1499209	32.541617	25.1499209	39.9333132	7.39169617	0	0	0	0	0	0	3
3	3	0	0.0416238879	21.2749471	28.7860604	21.2749471	39.9333132	11.1472528	0	0	0	0	0	0	3
4	4	0	0.0554985172	18.4932106	26.2128479	18.4932106	39.9333132	13.7204653	0	0	0	0	0	0	3
5	4	0	0.0693731464	20.1560654	25.0014914	18.4932106	39.9333132	14.9318218	0	0	0	0	0	0	3
6	4	0	0.0832477757	18.3964245	23.900647	18.3964245	39.9333132	16.0326662	0	0	0	0	0	0	3
7	5	0	0.097122405	19.0832554	23.2124482	18.3964245	39.9333132	16.720865	0	0	0	0	0	0	3
8	5	0	0.110997034	17.7252476	22.5265481	17.7252476	39.9333132	17.4067651	0	0	0	0	0	0	3
9	5	0	0.124871664	18.2363027	22.0498542	17.7252476	39.9333132	17.883459	0	0	0	0	0	0	3
10	6	0	0.138746293	17.2022819	21.5650969	17.2022819	39.9333132	18.3682163	0	0	0	0	0	0	3
11	7	0	0.152620922	17.4659881	21.1924507	17.2022819	39.9333132	18.7408625	0	0	0	0	0	0	3
12	7	0	0.166495551	16.6860129	20.8169142	16.6860129	39.9333132	19.116399	0	0	0	0	0	0	3
13	7	0	0.180370181	16.8582505	20.5124016	16.6860129	39.9333132	19.4209116	0	0	0	0	0	0	3
14	8	0	0.19424481	16.372174	20.2166711	16.372174	39.9333132	19.7166421	0	0	0	0	0	0	3
15	8	0	0.208119439	16.4096147	19.9628673	16.372174	39.9333132	19.9704459	0	0	0	0	0	0	3
16	9	0	0.221994069	16.2192634	19.7288921	16.2192634	39.9333132	20.2044211	0	0	0	0	0	0	3
17	9	0	0.235868698	16.0237284	19.5109413	16.0237284	39.9333132	20.422372	0	0	0	0	0	0	3
18	10	0	0.249743327	15.9645608	19.3139201	15.9645608	39.9333132	20.6193931	0	0	0	0	0	0	3
19	10	0	0.263617956	15.8214852	19.1301077	15.8214852	39.9333132	20.8032055	0	0	0	0	0	0	3
20	11	0	0.277492586	15.6635752	18.9567811	15.6635752	39.9333132	20.9765321	0	0	0	0	0	0	3
21	12	0	0.291367215	15.6711414	18.8003221	15.6635752	39.9333132	21.1329911	0	0	0	0	0	0	3
22	12	0	0.305241844	15.5843029	18.6541394	15.5843029	39.9333132	21.2791738	0	0	0	0	0	0	3
23	13	0	0.319116474	15.6798566	18.5248228	15.5843029	39.9333132	21.4084904	0	0	0	0	0	0	3
24	14	0	0.332991103	15.7248469	18.4081571	15.5843029	39.9333132	21.5251561	0	0	0	0	0	0	3
25	14	0	0.346865732	15.7469399	18.3017084	15.5843029	39.9333132	21.6316048	0	0	0	0	0	0	3
26	15	0	0.360740362	15.8645598	18.2079719	15.5843029	39.9333132	21.7253413	0	0	0	0	0	0	3
27	15	0	0.374614991	15.8629219	18.1211182	15.5843029	39.9333132	21.812195	0	0	0	0	0	0	3
28	16	0	0.38848962	15.9573666	18.0438414	15.5843029	39.9333132	21.8894718	0	0	0	0	0	0	3
29	16	0	0.402364249	16.005384	17.9735497	15.5843029	39.9333132	21.9597635	0	0	0	0	0	0	3
30	17	0	0.416238879	16.0528452	17.9095263	15.5843029	39.9333132	22.0237869	0	0	0	0	0	0	3
31	18	0	0.430113508	16.1260878	17.851996	15.5843029	39.9333132	22.0813172	0	0	0	0	0	0	3
32	18	0	0.443988137	16.1804816	17.7997612	15.5843029	39.9333132	22.133552	0	0	0	0	0	0	3
33	19	0	0.457862767	16.2479969	17.752738	15.5843029	39.9333132	22.1805752	0	0	0	0	0	0	3
34	20	0	0.471737396	16.3261438	17.7107793	15.5843029	39.9333132	22.2225339	0	0	0	0	0	0	3
35	20	0	0.485612025	16.4269124	17.6740974	15.5843029	39.9333132	22.2592158	0	0	0	0	0	0	3
36	21	0	0.499486654	16.5023419	17.6415487	15.5843029	39.9333132	22.2917645	0	0	0	0	0	0	3
37	22	0	0.513361284	16.5366361	17.6116862	15.5843029	39.9333132	22.321627	0	0	0	0	0	0	3
38	22	0	0.527235913	16.5969219	16.9809729	15.5843029	25.1499209	9.56561801	0	0	0	0	0	0	3
39	23	0	0.541110542	16.5945159	16.7497457	15.5843029	21.2749471	5.69064424	0	0	0	0	0	0	3
40	24	0	0.554985172	16.6107929	16.6236875	15.5843029	20.1560654	4.5717626	0	0	0	0	0	0	3
41	24	0	0.568859801	16.6090322	16.5727638	15.5843029	20.1560654	4.5717626	0	0	0	0	0	0	3
42	25	0	0.58273443	16.5722467	16.4759038	15.5843029	19.0832554	3.49895252	0	0	0	0	0	0	3
43	25	0	0.596609059	16.5484502	16.4259585	15.5843029	19.0832554	3.49895252	0	0	0	0	0	0	3
44	26	0	0.610483689	16.542378	16.3572862	15.5843029	18.2363027	2.65199987	0	0	0	0	0	0	3
45	27	0	0.624358318	16.5701845	16.3260683	15.5843029	18.2363027	2.65199987	0	0	0	0	0	0	3
46	27	0	0.638232947	16.5980458	16.2817911	15.5843029	17.4659881	1.88168524	0	0	0	0	0	0	3
47	28	0	0.652107577	16.6393775	16.2665774	15.5843029	17.4659881	1.88168524	0	0	0	0	0	0	3
48	29	0	0.665982206	16.6684205	16.2450215	15.5843029	16.8582505	1.27394767	0	0	0	0	0	0	3
49	29	0	0.679856835	16.6647137	16.2444459	15.5843029	16.8582505	1.27394767	0	0	0	0	0	0	3
50	30	0	0.693731464	16.6255997	16.238158	15.5843029	16.6684205	1.08411767	0	0	0	0	0	0	3
