Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0138746293	0	0	0	0	0	0	0	0	0	0	0	3
2	3	0	0.0277492586	0	0	0	0	0	0	0	0	0	0	0	3
3	3	0	0.0416238879	0	0	0	0	0	0	0	0	0	0	0	3
4	4	0	0.0554985172	0	0	0	0	0	0	0	0	0	0	0	3
5	4	0	0.0693731464	0	0	0	0	0	0	0	0	0	0	0	3
6	4	0	0.0832477757	0	0	0	0	0	0	0	0	0	0	0	3
7	5	0	0.097122405	0	0	0	0	0	0	0	0	0	0	0	3
8	5	0	0.110997034	0	0	0	0	0	0	0	0	0	0	0	3
9	5	0	0.124871664	0	0	0	0	0	0	0	0	0	0	0	3
10	6	0	0.138746293	0	0	0	0	0	0	0	0	0	0	0	3
11	7	0	0.152620922	0	0	0	0	0	0	0	0	0	0	0	3
12	7	0	0.166495551	0	0	0	0	0	0	0	0	0	0	0	3
13	7	0	0.180370181	0	0	0	0	0	0	0	0	0	0	0	3
14	8	0	0.19424481	0	0	0	0	0	0	0	0	0	0	0	3
15	8	0	0.208119439	0	0	0	0	0	0	0	0	0	0	0	3
16	9	0	0.221994069	0	0	0	0	0	0	0	0	0	0	0	3
17	9	0	0.235868698	0	0	0	0	0	0	0	0	0	0	0	3
18	10	0	0.249743327	0	0	0	0	0	0	0	0	0	0	0	3
19	10	0	0.263617956	0	0	0	0	0	0	0	0	0	0	0	3
20	11	0	0.277492586	0	0	0	0	0	0	0	0	0	0	0	3
21	12	0	0.291367215	0	0	0	0	0	0	0	0	0	0	0	3
22	12	0	0.305241844	0	0	0	0	0	0	0	0	0	0	0	3
23	13	0	0.319116474	0	0	0	0	0	0	0	0	0	0	0	3
24	14	0	0.332991103	0	0	0	0	0	0	0	0	0	0	0	3
25	14	0	0.346865732	0	0	0	0	0	0	0	0	0	0	0	3
26	15	0	0.360740362	0	0	0	0	0	0	0	0	0	0	0	3
27	15	0	0.374614991	0	0	0	0	0	0	0	0	0	0	0	3
28	16	0	0.38848962	0	0	0	0	0	0	0	0	0	0	0	3
29	16	0	0.402364249	0	0	0	0	0	0	0	0	0	0	0	3
30	17	0	0.416238879	0	0	0	0	0	0	0	0	0	0	0	3
31	18	0	0.430113508	0	0	0	0	0	0	0	0	0	0	0	3
32	18	0	0.443988137	0	0	0	0	0	0	0	0	0	0	0	3
33	19	0	0.457862767	0	0	0	0	0	0	0	0	0	0	0	3
34	20	0	0.471737396	0	0	0	0	0	0	0	0	0	0	0	3
35	20	0	0.485612025	0	0	0	0	0	0	0	0	0	0	0	3
36	21	0	0.499486654	0	0	0	0	0	0	0	0	0	0	0	3
37	22	0	0.513361284	0	0	0	0	0	0	0	0	0	0	0	3
38	22	0	0.527235913	0	0	0	0	0	0	0	0	0	0	0	3
39	23	0	0.541110542	0	0	0	0	0	0	0	0	0	0	0	3
40	24	0	0.554985172	0	0	0	0	0	0	0	0	0	0	0	3
41	24	0	0.568859801	0	0	0	0	0	0	0	0	0	0	0	3
42	25	0	0.58273443	0	0	0	0	0	0	0	0	0	0	0	3
43	25	0	0.596609059	0	0	0	0	0	0	0	0	0	0	0	3
44	26	0	0.610483689	0	0	0	0	0	0	0	0	0	0	0	3
45	27	0	0.624358318	0	0	0	0	0	0	0	0	0	0	0	3
46	27	0	0.638232947	0	0	0	0	0	0	0	0	0	0	0	3
47	28	0	0.652107577	0	0	0	0	0	0	0	0	0	0	0	3
48	29	0	0.665982206	0	0	0	0	0	0	0	0	0	0	0	3
49	29	0	0.679856835	0	0	0	0	0	0	0	0	0	0	0	3
50	30	0	0.693731464	0	0	0	0	0	0	0	0	0	0	0	3
51	30	0	0.707606094	0	0	0	0	0	0	0	0	0	0	0	3
52	31	0	0.721480723	0	0	0	0	0	0	0	0	0	0	0	3
53	31	0	0.735355352	0	0	0	0	0	0	0	0	0	0	0	3
54	32	0	0.749229982	0	0	0	0	0	0	0	0	0	0	0	3
55	32	0	0.763104611	0	0	0	0	0	0	0	0	0	0	0	3
56	32	0	0.77697924	0	0	0	0	0	0	0	0	0	0	0	3
57	33	0	0.790853869	0	0	0	0	0	0	0	0	0	0	0	3
58	33	0	0.804728499	0	0	0	0	0	0	0	0	0	0	0	3
59	34	0	0.818603128	0	0	0	0	0	0	0	0	0	0	0	3
60	34	0	0.832477757	0	0	0	0	0	0	0	0	0	0	0	3
61	35	0	0.846352387	0	0	0	0	0	0	0	0	0	0	0	3
62	35	0	0.860227016	0	0	0	0	0	0	0	0	0	0	0	3
63	35	0	0.874101645	0	0	0	0	0	0	0	0	0	0	0	3
64	36	0	0.887976275	0	0	0	0	0	0	0	0	0	0	0	3
65	36	0	0.901850904	0	0	0	0	0	0	0	0	0	0	0	3
66	37	0	0.915725533	0	0	0	0	0	0	0	0	0	0	0	3
67	37	0	0.929600162	0	0	0	0	0	0	0	0	0	0	0	3
68	38	0	0.943474792	0	0	0	0	0	0	0	0	0	0	0	3
69	39	0	0.957349421	0	0	0	0	0	0	0	0	0	0	0	3
70	39	0	0.97122405	0	0	0	0	0	0	0	0	0	0	0	3
71	40	0	0.98509868	0	0	0	0	0	0	0	0	0	0	0	3
72	40	0	0.998973309	0	0	0	0	0	0	0	0	0	0	0	3
73	41	0	1.01284794	0	0	0	0	0	5e-06	0	0	0	0	0	3
74	41	0	1.02672257	0	0	0	0	0	5e-06	0	0	0	0	0	3
75	42	0	1.0405972	0	0	0	0	0	5e-06	0	0	0	0	0	3
76	42	0	1.05447183	0	0	0	0	0	5e-06	0	0	0	0	0	3
77	43	0	1.06834646	0	0	0	0	0	5e-06	0	0	0	0	0	3
