Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0138746293	101325.034	101325.034	101325.034	101325.034	0	0	0	0	500.905	0	0	3
2	3	0	0.0277492586	101325.003	101325.018	101325.003	101325.034	0.0156588793	0	0	0	468.143	0	0	3
3	3	0	0.0416238879	101325.001	101325.013	101325.001	101325.034	0.0214030466	0	0	0	412.514	0	0	3
4	4	0	0.0554985172	101324.998	101325.009	101324.998	101325.034	0.0249697097	0	0	0	418.986	0	0	3
5	4	0	0.0693731464	101325.004	101325.008	101324.998	101325.034	0.0260060693	0	0	0	416.679	0	0	3
6	4	0	0.0832477757	101325.002	101325.007	101324.998	101325.034	0.0269960161	0	0	0	410.471	0	0	3
7	5	0	0.097122405	101325.008	101325.007	101324.998	101325.034	0.0269960161	0	0	0	392.195	0	0	3
8	5	0	0.110997034	101325.005	101325.007	101324.998	101325.034	0.0271788873	0	0	0	369.826	0	0	3
9	5	0	0.124871664	101325.008	101325.007	101324.998	101325.034	0.0271788873	0	0	0	355.724	0	0	3
10	6	0	0.138746293	101325.004	101325.007	101324.998	101325.034	0.0274439027	0	0	0	337.557	0	0	3
11	7	0	0.152620922	101325.003	101325.006	101324.998	101325.034	0.0277713333	0	0	0	327.569	0	0	3
12	7	0	0.166495551	101325	101325.006	101324.998	101325.034	0.028313126	0	0	0	320.036	0	0	3
13	7	0	0.180370181	101324.998	101325.005	101324.998	101325.034	0.0289363279	0	0	0	311.094	0	0	3
14	8	0	0.19424481	101324.994	101325.004	101324.994	101325.034	0.0297089594	0	0	0	305.241	0	0	3
15	8	0	0.208119439	101324.992	101325.004	101324.992	101325.034	0.0305328783	0	0	0	295.528	0	0	3
16	9	0	0.221994069	101324.989	101325.003	101324.989	101325.034	0.0314566413	0	0	0	291.869	0	0	3
17	9	0	0.235868698	101324.985	101325.002	101324.985	101325.034	0.0325165281	0	0	0	285.716	0	0	3
18	10	0	0.249743327	101324.98	101325	101324.98	101325.034	0.0336874569	0	0	0	282.332	0	0	3
19	10	0	0.263617956	101324.976	101324.999	101324.976	101325.034	0.0349505715	0	0	0	282.697	0	0	3
20	11	0	0.277492586	101324.972	101324.998	101324.972	101325.034	0.0362866082	0	0	0	276.512	0	0	3
21	12	0	0.291367215	101324.968	101324.996	101324.968	101325.034	0.0377050733	0	0	0	270.955	0	0	3
22	12	0	0.305241844	101324.962	101324.995	101324.962	101325.034	0.0392632956	0	0	0	269.349	0	0	3
23	13	0	0.319116474	101324.956	101324.993	101324.956	101325.034	0.0409353089	0	0	0	265.97	0	0	3
24	14	0	0.332991103	101324.951	101324.991	101324.951	101325.034	0.0426802313	0	0	0	264.227	0	0	3
25	14	0	0.346865732	101324.946	101324.99	101324.946	101325.034	0.0445049221	0	0	0	260.847	0	0	3
26	15	0	0.360740362	101324.94	101324.988	101324.94	101325.034	0.0464025663	0	0	0	259.804	0	0	3
27	15	0	0.374614991	101324.932	101324.986	101324.932	101325.034	0.0484562703	0	0	0	257.42	0	0	3
28	16	0	0.38848962	101324.925	101324.983	101324.925	101325.034	0.0506205077	0	0	0	256.628	0	0	3
29	16	0	0.402364249	101324.919	101324.981	101324.919	101325.034	0.0528520666	0	0	0	254.216	0	0	3
30	17	0	0.416238879	101324.913	101324.979	101324.913	101325.034	0.0551143488	0	0	0	253.377	0	0	3
31	18	0	0.430113508	101324.909	101324.977	101324.909	101325.034	0.0573777339	0	0	0	251.985	0	0	3
32	18	0	0.443988137	101324.902	101324.974	101324.902	101325.034	0.0597164413	0	0	0	251.411	0	0	3
33	19	0	0.457862767	101324.894	101324.972	101324.894	101325.034	0.0621520241	0	0	0	250.364	0	0	3
34	20	0	0.471737396	101324.887	101324.969	101324.887	101325.034	0.0646635471	0	0	0	249.817	0	0	3
35	20	0	0.485612025	101324.879	101324.967	101324.879	101325.034	0.067241479	0	0	0	248.068	0	0	3
36	21	0	0.499486654	101324.874	101324.964	101324.874	101325.034	0.0698068833	0	0	0	247.714	0	0	3
37	22	0	0.513361284	101324.87	101324.962	101324.87	101325.034	0.0723661254	0	0	0	246.464	0	0	3
38	22	0	0.527235913	101324.864	101324.957	101324.864	101325.008	0.0613113842	0	0	0	245.577	0	0	3
39	23	0	0.541110542	101324.858	101324.953	101324.858	101325.008	0.0594762541	0	0	0	244.247	0	0	3
40	24	0	0.554985172	101324.854	101324.949	101324.854	101325.008	0.0598971696	0	0	0	243.554	0	0	3
41	24	0	0.568859801	101324.853	101324.945	101324.853	101325.008	0.0627953648	0	0	0	242.698	0	0	3
42	25	0	0.58273443	101324.854	101324.941	101324.853	101325.008	0.0659387488	0	0	0	242.073	0	0	3
43	25	0	0.596609059	101324.855	101324.937	101324.853	101325.008	0.0699144512	0	0	0	240.983	0	0	3
44	26	0	0.610483689	101324.856	101324.933	101324.853	101325.008	0.0738146339	0	0	0	240.33	0	0	3
45	27	0	0.624358318	101324.86	101324.929	101324.853	101325.008	0.0777474838	0	0	0	239.361	0	0	3
46	27	0	0.638232947	101324.864	101324.925	101324.853	101325.004	0.081289411	0	0	0	238.632	0	0	3
47	28	0	0.652107577	101324.869	101324.922	101324.853	101325.003	0.0845876116	0	0	0	237.614	0	0	3
