Iteration	CPUTime	PhysTime	Travels
1	2	0	0.0138746293
2	3	0	0.0277492586
3	3	0	0.0416238879
4	4	0	0.0554985172
5	4	0	0.0693731464
6	4	0	0.0832477757
7	5	0	0.097122405
8	5	0	0.110997034
9	5	0	0.124871664
10	6	0	0.138746293
11	7	0	0.152620922
12	7	0	0.166495551
13	7	0	0.180370181
14	8	0	0.19424481
15	8	0	0.208119439
16	9	0	0.221994069
17	9	0	0.235868698
18	10	0	0.249743327
19	10	0	0.263617956
20	11	0	0.277492586
21	12	0	0.291367215
22	12	0	0.305241844
23	13	0	0.319116474
24	14	0	0.332991103
25	14	0	0.346865732
26	15	0	0.360740362
27	15	0	0.374614991
28	16	0	0.38848962
29	16	0	0.402364249
30	17	0	0.416238879
31	18	0	0.430113508
32	18	0	0.443988137
33	19	0	0.457862767
34	20	0	0.471737396
35	20	0	0.485612025
36	21	0	0.499486654
37	22	0	0.513361284
38	22	0	0.527235913
39	23	0	0.541110542
40	24	0	0.554985172
41	24	0	0.568859801
42	25	0	0.58273443
43	25	0	0.596609059
44	26	0	0.610483689
45	27	0	0.624358318
46	27	0	0.638232947
47	28	0	0.652107577
48	29	0	0.665982206
49	29	0	0.679856835
50	30	0	0.693731464
51	30	0	0.707606094
52	31	0	0.721480723
53	31	0	0.735355352
54	32	0	0.749229982
55	32	0	0.763104611
56	32	0	0.77697924
57	33	0	0.790853869
58	33	0	0.804728499
59	34	0	0.818603128
60	34	0	0.832477757
61	35	0	0.846352387
62	35	0	0.860227016
63	35	0	0.874101645
64	36	0	0.887976275
65	36	0	0.901850904
66	37	0	0.915725533
67	37	0	0.929600162
68	38	0	0.943474792
69	39	0	0.957349421
70	39	0	0.97122405
71	40	0	0.98509868
72	40	0	0.998973309
73	41	0	1.01284794
74	41	0	1.02672257
75	42	0	1.0405972
76	42	0	1.05447183
77	43	0	1.06834646
78	44	0	1.08222108
79	45	0	1.09609571
80	45	0	1.10997034
81	46	0	1.12384497
82	47	0	1.1377196
83	47	0	1.15159423
84	48	0	1.16546886
85	49	0	1.17934349
86	50	0	1.19321812
87	50	0	1.20709275
88	51	0	1.22096738
89	52	0	1.23484201
90	52	0	1.24871664
91	53	0	1.26259127
92	54	0	1.27646589
93	54	0	1.29034052
94	55	0	1.30421515
95	56	0	1.31808978
96	56	0	1.33196441
97	57	0	1.34583904
98	57	0	1.35971367
99	58	0	1.3735883
100	58	0	1.38746293
101	59	0	1.40133756
102	60	0	1.41521219
103	60	0	1.42908682
104	61	0	1.44296145
105	61	0	1.45683608
106	62	0	1.4707107
107	62	0	1.48458533
108	63	0	1.49845996
109	63	0	1.51233459
110	63	0	1.52620922
111	64	0	1.54008385
112	64	0	1.55395848
113	65	0	1.56783311
114	65	0	1.58170774
115	65	0	1.59558237
116	66	0	1.609457
117	66	0	1.62333163
118	67	0	1.63720626
119	67	0	1.65108089
